ID,Section,Question,Translation,Translate ENG,Copy New,Sample Answer
138,Additional,bank_giro_iban,Wie lautet die IBAN fuer moegliche Zahlungen?,What is the IBAN for possible payments?,Wie lautet die IBAN für mögliche Zahlungen?,DE89 3704 0044 0532 0130 00
140,Additional,bank_giro_name,Wie lauten Name und Sitz des Geldinstituts?,What are the name and location of the bank?,Wie heißen die Bank und der Ort der Bank?,Sparkasse Berlin
141,Additional,p_account_yes_no,Handelt es sich um ein Pfaendungsschutzkonto (P-Konto)?,Is this a garnishment-protected account?,Ist das Konto ein Pfändungsschutzkonto (P-Konto)?,
142,Additional,application_reason_notes,Was ist die Begruendung des Antrags oder welche weiteren Hinweise moechten Sie angeben?,What is the reason for the application or what additional information would you like to provide?,Warum stellen Sie den Antrag oder was möchten Sie uns noch mitteilen?,Pflegeheimkosten können nicht vollständig bezahlt werden
143,Spouse,spouse_last_name,Wie lautet der Nachname Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's last name?,Wie lautet der Nachname Ihres Ehepartners oder Partners?,Mustermann
144,Spouse,spouse_first_name,Wie lautet der Vorname Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's first name?,Wie lautet der Vorname Ihres Ehepartners oder Partners?,Max
145,Spouse,spouse_birth_name,Wie lautet der Geburtsname Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's birth name?,Wie lautet der Geburtsname Ihres Partners?,Müller
146,Spouse,spouse_gender,Was ist das Geschlecht Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's gender?,Welches Geschlecht hat Ihr Partner?,
147,Spouse,spouse_birthdate,Wann wurde Ihr Ehepartner/Partner geboren?,When were you born?,Wann wurde Ihr Partner geboren?,
148,Spouse,spouse_city_of_birth,In welchem Ort wurde Ihr Ehepartner/Partner geboren?,In which city were you born?,In welchem Ort wurde Ihr Partner geboren?,Essen
149,Spouse,spouse_tax_id,Wie lautet die Steuer-ID Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's tax ID?,Wie lautet die Steuer-ID Ihres Partners?,
150,Spouse,spouse_pension_insurance_number,Wie lautet die Rentenversicherungsnummer Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's pension insurance number?,Wie lautet die Rentenversicherungsnummer Ihres Partners?,
151,Spouse,spouse_citizenship,Was ist die Staatsangehoerigkeit Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's nationality?,Welche Staatsangehörigkeit hat Ihr Partner?,deutsch
152,Spouse,spouse_residence_status,Welcher aufenthaltsrechtliche Status liegt bei Ihrem Ehepartner/Partner vor?,What is your spouse/partnerr spouse/partner's residence status?,Welchen Aufenthaltsstatus hat Ihr Partner?,
153,Spouse,spouse_entry_to_germany_date,Wann ist Ihr Ehepartner/Partner in die Bundesrepublik Deutschland eingereist?,When did your spouse/partner enter Germany?,Wann ist Ihr Partner nach Deutschland eingereist?,
154,Spouse,spouse_residence_status_other,Wie lautet der sonstige Aufenthaltsstatus Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's other residence status?,Welchen sonstigen Aufenthaltsstatus hat Ihr Partner?,Niederlassungserlaubnis
155,Spouse,spouse_legal_guardian_yes_no,Wurde fuer Ihren Ehepartner/Partner ein gesetzlicher Betreuer bestellt?,Has a legal guardian been appointed for you?,Hat Ihr Partner eine gesetzliche Betreuung oder eine bevollmächtigte Person?,
156,Spouse,spouse_legal_guardian_name_address,Wie lauten Name und Anschrift der bestellten Betreuungsperson Ihres Ehepartners/Partners?,What are the name and address of the appointed legal guardian?,"Wie heißt die Betreuung oder bevollmächtigte Person Ihres Partners, und wie ist die Adresse?","Max Mustermann, Musterstraße 12"
157,Spouse,spouse_disability_card,Liegt bei Ihrem Ehepartner/Partner ein Schwerbehindertenausweis oder Feststellungsbescheid vor?,Does your spouse/partnerr spouse/partner's spouse/partner has a severe disability card or assessment notice?,Hat Ihr Partner einen Schwerbehindertenausweis oder Feststellungsbescheid?,
158,Spouse,spouse_disability_card_expiry,Bis wann ist der Schwerbehindertenausweis oder Feststellungsbescheid Ihres Ehepartners/Partners gueltig?,Until when is the severe disability card or assessment notice valid?,Bis wann ist der Schwerbehindertenausweis oder Feststellungsbescheid Ihres Partners gültig?,
159,Spouse,spouse_disability_card_application_date,Wann wurde der Schwerbehindertenausweis oder Feststellungsbescheid fuer Ihren Ehepartner/Partner beantragt?,When was the severe disability card or assessment notice applied for?,Wann wurde der Schwerbehindertenausweis oder Feststellungsbescheid für Ihren Partner beantragt?,
160,Spouse,spouse_disability_card_markers,Hat der Schwerbehindertenausweis Ihres Ehepartners/Partners die Merkzeichen G oder aG?,Does the severe disability card include the markers G or aG?,Welche Merkzeichen stehen im Schwerbehindertenausweis Ihres Partners?,
161,Spouse,spouse_health_insurance,Bei welcher Krankenkasse ist Ihr Ehepartner/Partner versichert?,Which health insurance provider are you insured with?,Bei welcher Krankenkasse ist Ihr Partner versichert?,AOK Rheinland/Hamburg
162,Spouse,spouse_health_insurance_member_since,Seit wann ist Ihr Ehepartner/Partner Mitglied dieser Kranken-/Pflegeversicherung?,Since when have you been a member of this health or long-term care insurance?,Seit wann ist Ihr Partner dort kranken- oder pflegeversichert?,
163,Spouse,spouse_health_insurance_type,Wie ist Ihr Ehepartner/Partner kranken- bzw. pflegeversichert?,How are you insured for health and long-term care?,Wie ist Ihr Partner kranken- und pflegeversichert?,
164,Spouse,spouse_health_insurance_member_id,Wie lautet die Krankenversicherungsnummer Ihres Ehepartners/Partners?,What is your spouse/partnerr spouse/partner's health insurance number?,Wie lautet die Krankenversicherungsnummer Ihres Partners?,
165,Spouse,spouse_health_insurance_amount,Wie hoch ist der monatliche Beitrag Ihres Ehepartners/Partners zur Krankenversicherung?,What is your spouse/partnerr spouse/partner's monthly health insurance contribution?,Wie hoch ist der monatliche Beitrag Ihres Partners zur Krankenversicherung?,
166,Spouse,spouse_care_insurance_amount,Wie hoch ist der monatliche Beitrag Ihres Ehepartners/Partners zur Pflegeversicherung?,What is your spouse/partnerr spouse/partner's monthly long-term care insurance contribution?,Wie hoch ist der monatliche Beitrag Ihres Partners zur Pflegeversicherung?,
167,Spouse,spouse_foreign_health_insurance_yes_no,Hat Ihr Ehepartner/Partner eine auslaendische Krankenversicherung?,Does your spouse/partnerr spouse/partner's spouse/partner has foreign health insurance?,Hat Ihr Partner eine ausländische Krankenversicherung?,
168,Spouse,spouse_foreign_health_insurance_name_address,Wie lauten Name und Anschrift der auslaendischen Krankenversicherung Ihres Ehepartners/Partners?,What are the name and address of the foreign health insurance provider?,Wie heißen die ausländische Krankenversicherung Ihres Partners und ihre Adresse?,"Mutuelle Santé, Rue de Paris 1"
169,Spouse,spouse_last_health_insurance,Bei welcher Krankenkasse war Ihr Ehepartner/Partner zuletzt versichert?,Which health insurance provider were you last insured with?,Bei welcher Krankenkasse war Ihr Partner zuletzt versichert?,Techniker Krankenkasse
170,Spouse,spouse_last_health_insurance_from,Von wann war Ihr Ehepartner/Partner dort versichert?,From when were you insured there?,Ab wann war Ihr Partner dort versichert?,
171,Spouse,spouse_last_health_insurance_until,Bis wann war Ihr Ehepartner/Partner dort versichert?,Until when were you insured there?,Bis wann war Ihr Partner dort versichert?,
172,Spouse,spouse_pension_type,Welche Rente oder Pension bezieht Ihr Ehepartner/Partner?,What type of pension or retirement benefit do your spouse/partner's spouse/partner receives?,Welche Rente oder Pension bekommt Ihr Partner?,
173,Spouse,spouse_pension_amount_gross,Wie hoch ist der monatliche Bruttobetrag dieser Rente/Pension?,What is the monthly gross amount of this pension or retirement benefit?,Wie hoch ist der Bruttobetrag dieser Rente oder Pension pro Monat?,
174,Spouse,spouse_pension_amount,Wie hoch ist der monatliche Nettobetrag dieser Rente/Pension?,What is the monthly net amount of this pension or retirement benefit?,Wie hoch ist der Nettobetrag dieser Rente oder Pension pro Monat?,
175,Spouse,spouse_pension_application_yes_no,"Hat Ihr Ehepartner/Partner eine Rente beantragt, ueber die noch nicht entschieden wurde?",Has your spouse/partnerr spouse/partner's spouse/partner applied for a pension that has not yet been decided?,"Hat Ihr Partner eine Rente beantragt, über die noch nicht entschieden wurde?",
176,Spouse,spouse_pension_application_date,Wann wurde die Rente Ihres Ehepartners/Partners beantragt?,When did your spouse/partner apply for the pension?,Wann wurde die Rente Ihres Partners beantragt?,
177,Spouse,spouse_pension_application_issuer,Bei welcher Stelle wurde die Rente Ihres Ehepartners/Partners beantragt?,Which office did you apply to for the pension?,Bei welcher Stelle wurde die Rente Ihres Partners beantragt?,Deutsche Rentenversicherung
178,Spouse,spouse_pension_application_insurance_number,Welche Versicherungsnummer gehoert zum Rentenantrag Ihres Ehepartners/Partners?,Which insurance number belongs to the pension application?,Welche Versicherungsnummer gehört zum Rentenantrag Ihres Partners?,12 010180 M 123
179,Spouse,spouse_pension_application_type,Welche Rente wurde fuer Ihren Ehepartner/Partner beantragt?,Which pension did you apply for?,Welche Rente wurde für Ihren Partner beantragt?,Altersrente
180,Spouse,spouse_other_income,Bezieht Ihr Ehepartner/Partner anderes Einkommen?,Does your spouse/partnerr spouse/partner's spouse/partner receives any other income?,Hat Ihr Partner weiteres Einkommen?,
181,Spouse,spouse_other_income_type,Welche Art von anderem Einkommen bezieht Ihr Ehepartner/Partner?,What type of other income do your spouse/partner's spouse/partner receives?,Welche Art von weiterem Einkommen hat Ihr Partner?,
182,Spouse,spouse_other_income_amount,Wie hoch ist dieses Einkommen monatlich?,How much is this income per month?,Wie hoch ist dieses Einkommen pro Monat?,
